timestamp, latitude, longitude, altitude, horizontalAccuracy, verticalAccuracy
1738232682.314852, 48.190671016361826, 11.616368516281922, 0.0, 40.0, -1.0
1738232683.0445151, 48.190671016361826, 11.616368516281922, 0.0, 40.0, -1.0
1738232688.617436, 48.190651040889634, 11.616398575136293, 0.0, 40.0, -1.0
1738232690.37465, 48.190652210630994, 11.616400292635838, 0.0, 40.0, -1.0
1738232697.024405, 48.190617830626536, 11.616399969105043, 0.0, 40.0, -1.0
1738232703.61918, 48.190607979582786, 11.616374941622352, 0.0, 40.0, -1.0
1738232710.219246, 48.190591052931985, 11.61631137600256, 0.0, 40.0, -1.0
1738232716.824827, 48.190601909578575, 11.616270522373739, 0.0, 40.0, -1.0
1738232723.4202662, 48.1905326914969, 11.616190277108144, 0.0, 40.0, -1.0
1738232728.821817, 48.19051269233921, 11.616178277190967, 0.0, 40.0, -1.0
1738232735.423116, 48.190535230598286, 11.616252802605219, 0.0, 40.0, -1.0
1738232742.019264, 48.190457361687145, 11.616116845206054, 0.0, 40.0, -1.0
1738232748.627003, 48.190426578767415, 11.616039327819667, 0.0, 40.0, -1.0
1738232755.222894, 48.19042231409458, 11.615868725059899, 0.0, 40.0, -1.0
1738232760.713214, 48.19052265185129, 11.615968285039498, 0.0, 40.0, -1.0
1738232767.33651, 48.19054488112874, 11.61601756522433, 0.0, 40.0, -1.0
1738232774.090014, 48.190450185347615, 11.615777438187953, 0.0, 40.0, -1.0
1738232780.72162, 48.19050120960824, 11.615536790383302, 0.0, 40.0, -1.0
1738232781.2479293, 48.190107487862456, 11.615358147993096, 546.094326229766, 37.599551615190414, 47.999999999999204
1738232782.248594, 48.19013197910834, 11.615372691314311, 538.8367577195168, 30.264083861673985, 48.0
1738232783.249451, 48.190162112050245, 11.615371014933675, 536.0711327195168, 25.840879915004198, 47.99999999999999
1738232784.2466822, 48.1901821028893, 11.615358106802793, 535.8555565457791, 21.7735373533688, 31.999999999999996
1738232785.246484, 48.19020676557213, 11.615334355304418, 532.8553124889731, 18.93064786697829, 31.999999999999655
1738232786.2467198, 48.19022602706171, 11.615323761460337, 529.9666406065226, 16.955231957822544, 23.999999999999787
1738232787.2467499, 48.190239686564084, 11.615323992456881, 527.9808006882668, 14.905205401050084, 23.999999999999996
1738232788.2478347, 48.19025330715675, 11.61531125196406, 527.0548973688856, 13.764321693472064, 23.999999999999996
1738232789.2450843, 48.19026850844445, 11.61529070776734, 524.846889609471, 13.157559778481446, 23.999999999999826
1738232790.2466435, 48.1902779407165, 11.615279170997537, 525.9421044690534, 12.176907558274802, 23.99999999999977
1738232791.2468305, 48.19028576094693, 11.615266665834435, 525.1961327884346, 12.414814865052707, 23.99999999999977
1738232792.2535102, 48.190294651571314, 11.615256674400486, 523.4588281037286, 12.706972660701515, 23.999999999999773
1738232793.2414403, 48.19030116782386, 11.615258194516985, 522.6604881882668, 12.44499552942462, 23.999999999999996
1738232794.2453847, 48.190311100379105, 11.615247884776084, 520.7873192420229, 13.23137493371605, 24.000000000000004
1738232795.2406397, 48.190318937458585, 11.615235731016487, 520.6643944382668, 12.807404991007001, 24.0
1738232796.2544549, 48.19033054548828, 11.615212525892268, 519.3111230423674, 13.134275372599047, 23.999999999999716
1738232797.2461345, 48.19033712524704, 11.615204915208329, 520.9099999926984, 11.825275026020075, 23.999999999999723
1738232798.2462602, 48.1903456984289, 11.615198208805408, 522.0573388654739, 10.908560851079995, 23.999999999999687
1738232799.247056, 48.19035427075847, 11.615195192057367, 520.5572167895734, 9.83455004345876, 15.999999999999822
1738232800.2452755, 48.190362551177145, 11.615194225449718, 519.3155175475404, 9.456831757500098, 15.999999999999869
1738232801.2462206, 48.19037031469063, 11.615187442182007, 519.4313622750342, 9.079355742652991, 15.999999999999865
1738232802.2458816, 48.19037570390893, 11.615176078241285, 520.987514632754, 9.146397601885443, 15.999999999999833
1738232803.2466516, 48.19037845638002, 11.615167773754974, 521.2804833836854, 9.810025455071035, 15.99999999999984
1738232804.2462487, 48.19038084671071, 11.61516201696092, 521.0489159785211, 9.262631748892924, 15.999999999999883
1738232805.2480516, 48.19038458799112, 11.615149705204022, 521.6548730097711, 8.534607029351916, 15.999999999999876
1738232806.2462392, 48.19039262181171, 11.615137654226482, 520.4657861134037, 8.17553374580426, 15.99999999999984
1738232807.243443, 48.19039553857948, 11.615127466340072, 521.8659325968474, 8.852346433355153, 15.999999999999844
1738232808.246134, 48.19039944039001, 11.615119677826591, 521.084316377528, 9.201320699990571, 15.999999999999861
1738232809.2394385, 48.190400398226735, 11.615104488975806, 522.1287499703467, 9.239240133607902, 15.999999999999863
1738232810.251562, 48.19040383851313, 11.615086368140107, 522.27840820048, 9.764148416424838, 15.999999999999812
1738232811.2382774, 48.19040636499014, 11.6150730057001, 522.900844710879, 9.19022839673039, 15.999999999999838
1738232812.2452235, 48.1904104545673, 11.615059269624771, 523.3289452968165, 8.797708272368617, 15.99999999999983
1738232813.245196, 48.19041560942059, 11.615049676620508, 522.5749169662595, 7.988991988408381, 11.999999999999899
1738232814.2470713, 48.19042071045841, 11.615038789955626, 522.0103417728096, 7.566567099968174, 11.999999999999895
1738232815.2450986, 48.190426227343515, 11.61502705825769, 522.3821679465473, 6.916344005218042, 11.999999999999888
1738232816.2447956, 48.19043190624984, 11.615014707299835, 522.4541894346476, 6.39587654485552, 11.99999999999988
1738232817.2448857, 48.19043697873851, 11.615003638493606, 522.3499413868412, 5.983781113455141, 11.999999999999876
