timestamp, frame, x, y, z, qx, qy, qz, qw
1736938951.645271, 000000, -0.022384103, -0.003861405, -0.02550525, -0.07891256, 0.004329611, 0.68875784, -0.720671
1736938951.6619473, 000001, -0.022304198, -0.0039627277, -0.025375843, -0.080323346, 0.0033410178, 0.68850225, -0.7207646
1736938951.678623, 000002, -0.02215951, -0.003928417, -0.025305396, -0.081387006, 0.0027610103, 0.6887017, -0.72045714
1736938951.695299, 000003, -0.021952271, -0.0038211532, -0.025302049, -0.08204384, 0.0024113252, 0.6891592, -0.71994627
1736938951.7119749, 000004, -0.021701943, -0.0036590341, -0.025347747, -0.08216881, 0.0020274497, 0.6898083, -0.71931124
1736938951.7286506, 000005, -0.021319455, -0.0035343103, -0.0255798, -0.08181376, 0.0010538353, 0.6902031, -0.718975
1736938951.7453265, 000006, -0.020776287, -0.0034448039, -0.026064541, -0.080508776, 0.0004171798, 0.6910311, -0.71832734
1736938951.7620025, 000007, -0.020448344, -0.0032149877, -0.02627294, -0.07950008, 2.1976712e-05, 0.6917023, -0.7177936
1736938951.7786784, 000008, -0.020225039, -0.0029408082, -0.0263452, -0.07902793, -0.00024066967, 0.69219834, -0.71736735
1736938951.7953544, 000009, -0.020113101, -0.0026764057, -0.026332118, -0.07913054, -0.0005486898, 0.6923338, -0.7172251
1736938951.81203, 000010, -0.020058993, -0.0024375648, -0.026286224, -0.079792984, -0.0009614542, 0.6916948, -0.71776766
1736938951.828706, 000011, -0.019966755, -0.0021604504, -0.026259132, -0.079709984, -0.0013245646, 0.69197667, -0.71750456
1736938951.845382, 000012, -0.01985528, -0.0018980373, -0.026334127, -0.079599835, -0.0011831995, 0.6923242, -0.7171817
1736938951.862058, 000013, -0.019571982, -0.0018158399, -0.025912557, -0.07909595, -0.0010457565, 0.6926953, -0.71687925
1736938951.9621134, 000014, -0.019650023, -0.00097647123, -0.025971819, -0.0786017, 0.00018769398, 0.6920131, -0.7175929
1736938951.9787889, 000015, -0.019791346, -0.00093731657, -0.026142027, -0.078542516, 0.00045894462, 0.6917906, -0.7178138
1736938951.995465, 000016, -0.019924302, -0.0009087082, -0.02632986, -0.07841786, 0.00065151916, 0.6916625, -0.71795064
1736938952.0121408, 000017, -0.020046875, -0.0008872282, -0.026489729, -0.07839919, 0.0007625226, 0.69158316, -0.71802896
1736938952.0621686, 000018, -0.020427343, -0.0009872578, -0.02623061, -0.07950279, 0.00062745466, 0.6902803, -0.7191606
1736938952.0788443, 000019, -0.020451736, -0.0010672417, -0.02573396, -0.07929291, 0.0006163881, 0.6901226, -0.71933514
1736938952.0955203, 000020, -0.020467497, -0.0010813475, -0.025688097, -0.07908147, 0.0007110689, 0.6900752, -0.71940374
1736938952.112196, 000021, -0.02045634, -0.0010714456, -0.025777083, -0.07906018, 0.00091397506, 0.6900834, -0.719398
1736938952.1788998, 000022, -0.020659585, -0.0011758264, -0.02489915, -0.079534486, 0.0007468728, 0.6890895, -0.72029805
1736938952.1955757, 000023, -0.020688849, -0.001166266, -0.02494026, -0.0797416, 0.0007311304, 0.68894124, -0.720417
1736938952.2122514, 000024, -0.020696782, -0.0011406641, -0.025019439, -0.07982928, 0.000822942, 0.6888838, -0.72046214
1736938952.2289276, 000025, -0.02069387, -0.0011009393, -0.025098776, -0.07976206, 0.00085210754, 0.68889624, -0.7204577
1736938952.2956312, 000026, -0.020770708, -0.0009859005, -0.0243228, -0.08007618, 0.00020769013, 0.68866354, -0.72064567
1736938952.312307, 000027, -0.020687822, -0.0009020902, -0.024462469, -0.08003751, 0.00033088724, 0.68871623, -0.7205996
1736938952.3289828, 000028, -0.020579929, -0.00080509915, -0.024631206, -0.079936616, 0.0005373722, 0.68881714, -0.7205142
1736938952.3456588, 000029, -0.020463971, -0.00071689545, -0.024788868, -0.07999167, 0.0006920207, 0.6886687, -0.72064984
1736938952.3956866, 000030, -0.020300142, -0.00042128313, -0.024505472, -0.079707325, 0.00048827045, 0.688849, -0.7205092
1736938952.4123623, 000031, -0.02021876, -0.00035969232, -0.024576358, -0.079649076, 0.0005883615, 0.6888234, -0.72054005
1736938952.4290385, 000032, -0.020120863, -0.00030303746, -0.02464009, -0.07944501, 0.00058712665, 0.6888646, -0.72052324
1736938952.4457142, 000033, -0.020007983, -0.00025048852, -0.024691768, -0.07930345, 0.00062123453, 0.6888084, -0.72059256
1736938952.529094, 000034, -0.019117683, -3.7537236e-05, -0.024519749, -0.08009174, 0.00046161158, 0.68895966, -0.72036076
1736938952.5457697, 000035, -0.019106003, -0.00013950342, -0.024492746, -0.07998411, 0.00027565463, 0.68853307, -0.72078055
1736938952.5624459, 000036, -0.018987361, -0.00024680916, -0.024357706, -0.07977749, 0.00018284285, 0.6883116, -0.721015
1736938952.5791216, 000037, -0.0188047, -0.00034989108, -0.02418976, -0.07966616, 0.0002660088, 0.6883162, -0.72102284
1736938952.6625013, 000038, -0.018594692, -0.00056776276, -0.0233072, -0.07977923, -0.0008766497, 0.68773407, -0.7215652
