timestamp, frame, x, y, z, qx, qy, qz, qw
1738235035.6463163, 000000, -0.013740869, 0.25182942, -0.1293516, -0.47780198, 0.43928993, 0.5016943, -0.5718675
1738235035.6629918, 000001, -0.013884276, 0.2515704, -0.12951452, -0.47777563, 0.43936217, 0.5021518, -0.57143235
1738235035.6796677, 000002, -0.014720624, 0.2520113, -0.12959677, -0.47792625, 0.43910897, 0.50267017, -0.5710451
1738235035.6963432, 000003, -0.015248431, 0.25201374, -0.12967035, -0.47868538, 0.43842143, 0.50298786, -0.5706578
1738235035.7130191, 000004, -0.015646543, 0.2518316, -0.12976262, -0.4798287, 0.43764862, 0.50298715, -0.5702912
1738235035.7296946, 000005, -0.01598789, 0.25159028, -0.12989433, -0.4809466, 0.43698186, 0.5027845, -0.57003945
1738235035.7463706, 000006, -0.016271083, 0.25134364, -0.13001825, -0.4820559, 0.43646798, 0.50251293, -0.5697355
1738235035.763046, 000007, -0.01646831, 0.25112042, -0.13012706, -0.48304316, 0.4363642, 0.502233, -0.56922543
1738235035.779722, 000008, -0.01704569, 0.2516183, -0.13001518, -0.48389944, 0.43657455, 0.50184035, -0.56868297
1738235035.7963977, 000009, -0.017388731, 0.25172088, -0.13002986, -0.48465645, 0.43704462, 0.5012166, -0.5682271
1738235035.8130734, 000010, -0.017728072, 0.2516901, -0.13009682, -0.48502922, 0.4373662, 0.5007393, -0.5680824
1738235035.8297489, 000011, -0.018085502, 0.2516335, -0.13017866, -0.48529696, 0.43763494, 0.50026226, -0.5680671
1738235035.8464248, 000012, -0.018453073, 0.25157064, -0.13023762, -0.48566288, 0.437899, 0.4997798, -0.5679756
1738235035.8631003, 000013, -0.01804854, 0.2516251, -0.13024348, -0.48586997, 0.43823054, 0.49944493, -0.5678373
1738235035.9131277, 000014, -0.01876289, 0.25136968, -0.13062748, -0.48682758, 0.43897083, 0.49804404, -0.5676757
1738235035.9298031, 000015, -0.019165445, 0.25126943, -0.13076307, -0.48740914, 0.43879315, 0.49772653, -0.5675925
1738235035.946479, 000016, -0.019611333, 0.25115055, -0.13096716, -0.48789743, 0.43850303, 0.49729827, -0.56777257
1738235035.9631546, 000017, -0.019455701, 0.25120306, -0.13130261, -0.48821646, 0.4383476, 0.49690977, -0.5679584
1738235036.0298576, 000018, -0.020262672, 0.25111583, -0.13245267, -0.48867083, 0.43801743, 0.49644542, -0.5682284
1738235036.0465333, 000019, -0.020785924, 0.25115803, -0.13273643, -0.48886752, 0.43811223, 0.49622083, -0.5681823
1738235036.0632088, 000020, -0.02110993, 0.25112772, -0.13305019, -0.48913112, 0.43817392, 0.49581313, -0.5682637
1738235036.0798848, 000021, -0.021366797, 0.2510768, -0.13337193, -0.48927468, 0.43814334, 0.49549693, -0.56843954
1738235036.129912, 000022, -0.021836627, 0.25104332, -0.13413441, -0.48946673, 0.43782184, 0.4956982, -0.56834644
1738235036.1465876, 000023, -0.022004467, 0.25102195, -0.13440554, -0.48950025, 0.4376965, 0.49561563, -0.5684862
1738235036.1632633, 000024, -0.021919947, 0.25155768, -0.13411266, -0.4895517, 0.43752444, 0.4955311, -0.568648
