timestamp, frame, x, y, z, qx, qy, qz, qw
1735473066.3516026, 000000, -0.003214513, 0.0027189285, 0.0034729172, 0.65454364, -0.6197522, -0.21444304, 0.37615687
1735473066.3682783, 000001, -0.0031835558, 0.0025819428, 0.0032159034, 0.6546532, -0.61939436, -0.21360198, 0.37703323
1735473066.3849537, 000002, -0.0032672025, 0.0024717376, 0.0030013416, 0.65500057, -0.6186996, -0.21267015, 0.37809584
1735473066.4016292, 000003, -0.0033260323, 0.002395212, 0.0028565866, 0.65523195, -0.6180678, -0.21173769, 0.37924987
1735473066.4183047, 000004, -0.0032754934, 0.0023572478, 0.0028156275, 0.6555369, -0.61770695, -0.21123976, 0.37958822
1735473066.4349804, 000005, -0.0030204833, 0.0022773012, 0.0029425854, 0.6555942, -0.6176095, -0.21133853, 0.37959275
1735473066.4516559, 000006, -0.0027518487, 0.0023041815, 0.0030887648, 0.6555431, -0.61761326, -0.21174915, 0.3794461
1735473066.4683316, 000007, -0.00252173, 0.0024043706, 0.0032368158, 0.6555661, -0.61738825, -0.21231999, 0.37945357
1735473066.485007, 000008, -0.0023398846, 0.002550741, 0.0033906405, 0.6557857, -0.61697, -0.21288092, 0.37944022
1735473066.5016828, 000009, -0.0021578548, 0.002708006, 0.0035267049, 0.6560159, -0.6166886, -0.21351612, 0.37914267
1735473066.5183582, 000010, -0.0019508656, 0.0028423257, 0.0036272574, 0.6561294, -0.61671853, -0.2134661, 0.3789257
1735473066.535034, 000011, -0.0021910453, 0.0028244257, 0.0033660382, 0.6561353, -0.61682725, -0.2133317, 0.37881428
1735473066.5517094, 000012, -0.00219995, 0.0028550285, 0.003243913, 0.6560243, -0.61690676, -0.2134014, 0.37883773
1735473066.5683851, 000013, -0.0020941133, 0.0029047523, 0.0031867307, 0.6558185, -0.6169844, -0.21368738, 0.37890625
1735473066.6350873, 000014, -0.0023592478, 0.0027528908, 0.0025659837, 0.65548193, -0.61715496, -0.21474345, 0.37861386
1735473066.6517627, 000015, -0.0022833028, 0.0027249572, 0.0025210204, 0.65546894, -0.61708283, -0.21474871, 0.37875092
1735473066.6684384, 000016, -0.0021600341, 0.0026882403, 0.0024894252, 0.6554316, -0.6170771, -0.21455513, 0.3789344
1735473066.685114, 000017, -0.0019931642, 0.0026432988, 0.0024889791, 0.6553622, -0.6171803, -0.21433401, 0.37901163
1735473066.7518165, 000018, -0.0022289855, 0.0026199035, 0.0023399368, 0.6553253, -0.61728776, -0.2152464, 0.3783829
1735473066.768492, 000019, -0.0020962926, 0.0026054587, 0.00232571, 0.6551339, -0.6173712, -0.2153558, 0.37851587
1735473066.7851677, 000020, -0.0019609313, 0.0025922172, 0.0022936258, 0.65484494, -0.61739874, -0.21567403, 0.37878957
1735473066.801843, 000021, -0.0018666554, 0.0025950558, 0.002290396, 0.6547043, -0.6172021, -0.21613537, 0.37909022
1735473066.8685455, 000022, -0.0021469516, 0.0022921306, 0.0020391485, 0.65482706, -0.6171885, -0.21597669, 0.3789906
1735473066.885221, 000023, -0.0019647824, 0.0022602454, 0.0020648316, 0.65473056, -0.617213, -0.21609871, 0.3790478
1735473066.9018965, 000024, -0.0017485311, 0.0022379085, 0.0021292642, 0.6546987, -0.6173053, -0.21606061, 0.37897432
1735473066.9185722, 000025, -0.0015125743, 0.0022097784, 0.0022224048, 0.6546859, -0.61735564, -0.21611755, 0.37888193
1735473066.9852746, 000026, -0.0012621215, 0.0020386425, 0.0021533384, 0.65391845, -0.618047, -0.21707076, 0.37853503
1735473067.00195, 000027, -0.0011767913, 0.001981534, 0.0021897946, 0.65386, -0.61808354, -0.21707411, 0.3785747
1735473067.0186257, 000028, -0.0014290733, 0.0019468316, 0.0018954417, 0.6538414, -0.61790353, -0.2171135, 0.37887773
1735473067.0353012, 000029, -0.0015093889, 0.0019057784, 0.0018301643, 0.6538112, -0.61789364, -0.2168356, 0.3791052
1735473067.1020036, 000030, -0.0014984868, 0.0018603597, 0.0021247603, 0.65403205, -0.6174724, -0.21679163, 0.37943542
1735473067.1186793, 000031, -0.0014112443, 0.0018378794, 0.002179373, 0.6539401, -0.61729234, -0.21731023, 0.37959027
1735473067.1353548, 000032, -0.001957085, 0.0020662632, 0.0019692392, 0.65388024, -0.61725134, -0.21743841, 0.3796866
1735473067.1520305, 000033, -0.002059741, 0.0021337755, 0.0019525196, 0.6537355, -0.617387, -0.21766359, 0.37958616
1735473067.2187328, 000034, -0.0016678654, 0.0019768376, 0.0020851144, 0.6532961, -0.6178312, -0.21758631, 0.37966427
1735473067.2354083, 000035, -0.0017962044, 0.0020892234, 0.0019494696, 0.6534808, -0.6175874, -0.21748744, 0.37979957
1735473067.252084, 000036, -0.0018211704, 0.0021039855, 0.001945334, 0.6536277, -0.6174734, -0.21730757, 0.37983513
1735473067.2687595, 000037, -0.0017822905, 0.0020886466, 0.001985381, 0.65367556, -0.6174818, -0.21714899, 0.3798299
1735473067.3354619, 000038, -0.0015281223, 0.0022210788, 0.002166931, 0.6537784, -0.6176234, -0.2168939, 0.37956834
1735473067.3521376, 000039, -0.0015087248, 0.002286318, 0.0021716808, 0.6537451, -0.6176599, -0.21694733, 0.3795357
1735473067.368813, 000040, -0.0014628217, 0.0023041938, 0.002201893, 0.6536479, -0.6178071, -0.21688442, 0.3794997
1735473067.3854887, 000041, -0.0014227142, 0.002312493, 0.0022360412, 0.65358317, -0.6179433, -0.21668454, 0.37950355
1735473067.452191, 000042, -0.0012495861, 0.002539364, 0.0025216849, 0.6536374, -0.6179502, -0.21708064, 0.37917247
1735473067.4688666, 000043, -0.0012390891, 0.0025625997, 0.0025185375, 0.65368307, -0.6180108, -0.21677412, 0.3791701
1735473067.4855423, 000044, -0.0012091183, 0.0025692147, 0.0024817926, 0.6535897, -0.6181328, -0.21644212, 0.37932172
1735473067.5022178, 000045, -0.0011698285, 0.0025918619, 0.002457534, 0.6535213, -0.6181197, -0.21661492, 0.3793624
1735473067.5689204, 000046, -0.0013056826, 0.0027129315, 0.0022266991, 0.65278494, -0.61869633, -0.21742266, 0.3792282
