timestamp, latitude, longitude, altitude, horizontalAccuracy, verticalAccuracy
1738748799.637181, 48.193088157511134, 11.616283783791909, 499.9066581726074, 40.0, 30.49461555480957
1738748822.137181, 48.193088157511134, 11.616283783791909, 499.9066581726074, 40.0, 30.49461555480957
1738748858.594075, 48.193099613691096, 11.616268699775073, 499.90667724609375, 40.0, 30.49461555480957
1738748860.077973, 48.193293297708216, 11.61624390632996, 513.1753807067871, 19.190587242501195, 24.0
1738748861.077333, 48.193323849745276, 11.616329988475531, 504.6575584411621, 7.044152450276325, 8.0
1738748862.07369, 48.19334568460304, 11.616342477511257, 502.6241111755371, 6.030020765186909, 8.0
1738748863.077283, 48.193343086213055, 11.616346500824779, 502.0467185974121, 6.740325036465033, 8.0
1738748864.076717, 48.19333763797599, 11.616340046759337, 504.1385154724121, 6.518603390325134, 8.0
1738748865.079975, 48.193335710138264, 11.616293694834798, 505.5584373474121, 6.595649234737523, 8.0
1738748866.090895, 48.19332929798234, 11.616279697056502, 509.3910789489746, 6.475905033268584, 8.0
1738748867.090698, 48.19333177064377, 11.616289671521276, 509.5044822692871, 5.96192520840635, 8.0
1738748868.089189, 48.19333223164845, 11.616282714541644, 509.4471092224121, 5.5229873835562024, 8.0
1738748869.091488, 48.19332393356431, 11.616273075352996, 510.5371971130371, 4.766777506344773, 6.0
1738748870.083233, 48.19332129326481, 11.616262514155, 510.0033836364746, 4.433829602570965, 6.0
1738748871.089541, 48.19331823387015, 11.61624734291026, 510.9667625427246, 4.489162677139928, 6.0
1738748872.0895786, 48.19331823387045, 11.61624734291026, 510.96676260232925, 4.568466747735431, 6.001098168064061
1738748873.0887117, 48.19331936314336, 11.61622885850627, 509.5682030832395, 4.591637143100884, 6.000796079242438
1738748874.0879455, 48.19331799952129, 11.61621210654518, 511.0620995685458, 4.767404314893828, 5.999999999999967
1738748875.0878394, 48.19332363676224, 11.61618916655276, 511.051845674403, 4.5439672592479114, 6.001415902780568
1738748876.0891185, 48.19331900829562, 11.616168576965705, 512.5735742170364, 4.3989096285819445, 6.003261816274603
1738748877.087459, 48.19331826781375, 11.616150116400563, 512.1581689361483, 4.341536365896539, 6.003975227180368
1738748878.0806212, 48.193314412850725, 11.616133916553224, 513.9942285055295, 4.209356075615975, 6.005582875854639
1738748879.0884953, 48.19332007195952, 11.616120831352648, 514.3809472573921, 4.214910781942438, 6.005516315841152
1738748880.0879147, 48.19332110534866, 11.61610737483181, 513.7017480283976, 4.19018582316793, 6.00581185425198
1738748881.0885592, 48.19332552912876, 11.61608734340374, 513.1086084321141, 4.218883427905293, 4.05496612068802
1738748882.08742, 48.19332827695335, 11.61607833018676, 513.1458398243412, 4.233329140743849, 4.049374562433524
1738748883.0889168, 48.19333114934803, 11.616069866210044, 512.6872216416523, 4.21421569177483, 4.056767208630512
1738748884.0881343, 48.1933320554792, 11.61606077791377, 511.29037104547024, 4.2142157619625396, 4.056767209095755
1738748885.0863662, 48.193335840569766, 11.616043916721475, 509.76546873990446, 4.248091289039483, 4.043632781260804
1738748886.0808744, 48.193343142443354, 11.616029317407612, 509.9213525308296, 4.223828939268262, 4.053054957015278
1738748887.0880623, 48.19334704002584, 11.61601470345934, 509.54513182956725, 4.265465619703458, 4.036838814365632
1738748888.0857248, 48.193347662930194, 11.616005178177243, 508.11849606595933, 4.258249403102444, 4.039665370029215
1738748889.0866106, 48.19334846588267, 11.615990362722705, 508.8849755693227, 4.242965212042954, 4.045629809090942
1738748890.08585, 48.19334946610579, 11.615975295535987, 508.7950097480789, 4.2309160531568635, 4.050310537331538
1738748891.085763, 48.193351616367146, 11.615966517807637, 508.10799802001566, 4.598853930052707, 3.5602077977033315
1738748892.0876887, 48.19335324591658, 11.615950201990447, 508.13949216064066, 4.598853945801461, 3.5602077773600747
1738748893.0854995, 48.19335710044855, 11.61592873497169, 508.4422265589237, 4.5988539667862565, 3.560207750253227
1738748894.07927, 48.19335935738699, 11.615914207862094, 507.8088037054986, 4.598853981077863, 3.5602077317922247
1738748895.0861464, 48.19336199216179, 11.615905192423007, 507.3521386263892, 4.598853993415485, 3.560207715855253
1738748896.087347, 48.19336567379269, 11.615886392690598, 507.1641503451392, 4.5988540130544315, 3.560207690486888
1738748897.0850062, 48.19336918206308, 11.615868765177794, 506.31795894075185, 4.59885403174988, 3.560207666337275
1738748898.0861063, 48.193372475301786, 11.615858550974542, 505.64730461966246, 4.214216913315238, 4.056766854272514
1738748899.0854268, 48.193377779894924, 11.615830236668451, 506.34066411852837, 4.214217041649289, 4.056766810058269
1738748900.086928, 48.193382124884735, 11.615815890837537, 506.2163964705542, 4.241636609460685, 4.046146950228353
1738748901.086909, 48.19338639778011, 11.615799902051913, 506.53890623897314, 4.23924298958829, 4.047077901291203
1738748902.078538, 48.19338970385105, 11.615786839568909, 506.5909081650898, 4.230200084434292, 4.0505882297125195
1738748903.086604, 48.19339464704204, 11.615762925677778, 506.08797856606543, 4.214217463339815, 4.056766707438988
1738748904.084455, 48.19339913564847, 11.615746599008464, 505.3077050950378, 4.214217575442481, 4.056766682706681
1738748905.0862417, 48.19340377028803, 11.615731844037168, 504.29537599533796, 4.5988541833605, 3.560207470496131
1738748906.0844831, 48.193408526872545, 11.6157287066982, 503.78719724714756, 4.214217770472867, 4.05676669062895
1738748907.082018, 48.193412446462105, 11.615742668520301, 503.72494131326675, 4.56988337465239, 4.003185365493659
1738748908.0829844, 48.19341542203774, 11.615746356557697, 503.70760732889175, 6.396482577964955, 6.0
